Fecha,Tipo,Open,High,Low,Last,Cierre,Aj.Dif.,Mon.,OI.Vol.,OI.Dif.,Vol.Ope.,Unidad,Dólar B.N.,Dólar Itaú.,Dif.Sem
04/08/2010,Fut,"132,5","132,5","132,5","132,5",135,"135,0",D,0,0,100,TONS,1,"3,929",-135
05/08/2010,Fut,0,0,0,0,137,"2,0",D,0,0,0,TONS,1,"3,94",-137
06/08/2010,Fut,0,0,0,0,134,"-3,0",D,0,0,0,TONS,1,"3,929",-134
09/08/2010,Fut,0,0,0,0,"133,5","-0,5",D,0,0,0,TONS,1,"3,927","-133,5"
10/08/2010,Fut,0,0,0,0,"131,5","-2,0",D,0,0,0,TONS,1,"3,929","-131,5"
11/08/2010,Fut,0,0,0,0,131,"-0,5",D,0,0,0,TONS,1,"3,93",-131
12/08/2010,Fut,0,0,0,0,133,"2,0",D,0,0,0,TONS,1,"3,931",-133
13/08/2010,Fut,0,0,0,0,134,"1,0",D,0,0,0,TONS,1,"3,928",-134
17/08/2010,Fut,0,0,0,0,"134,5","0,5",D,0,0,0,TONS,1,"3,93","-134,5"
18/08/2010,Fut,0,0,0,0,"134,5",0,D,0,0,0,TONS,1,"3,93","-134,5"
19/08/2010,Fut,0,0,0,0,134,"-0,5",D,0,0,0,TONS,1,"3,935",-134
20/08/2010,Fut,0,0,0,0,134,0,D,0,0,0,TONS,1,"3,935",-134
23/08/2010,Fut,0,0,0,0,134,0,D,0,0,0,TONS,1,"3,936",-134
24/08/2010,Fut,0,0,0,0,131,"-3,0",D,0,0,0,TONS,1,"3,938",-131
25/08/2010,Fut,0,0,0,0,"131,5","0,5",D,0,0,0,TONS,1,"3,942","-131,5"
26/08/2010,Fut,0,0,0,0,"134,5","3,0",D,0,0,0,TONS,1,"3,942","-134,5"
27/08/2010,Fut,0,0,0,0,"135,5","1,0",D,0,0,0,TONS,1,"3,941","-135,5"
30/08/2010,Fut,0,0,0,0,136,"0,5",D,0,0,0,TONS,1,"3,941",-136
31/08/2010,Fut,0,0,0,0,"134,5","-1,5",D,0,0,0,TONS,1,"3,952","-134,5"
01/09/2010,Fut,0,0,0,0,136,"1,5",D,0,0,0,TONS,1,"3,945",-136
02/09/2010,Fut,0,0,0,0,136,0,D,0,0,0,TONS,1,"3,945",-136
03/09/2010,Fut,0,0,0,0,139,"3,0",D,0,0,0,TONS,1,"3,941",-139
06/09/2010,Fut,0,0,0,0,139,0,D,0,0,0,TONS,1,"3,95",-139
07/09/2010,Fut,0,0,0,0,"139,5","0,5",D,0,0,0,TONS,1,"3,949","-139,5"
08/09/2010,Fut,0,0,0,0,"139,5",0,D,0,0,0,TONS,1,"3,95","-139,5"
09/09/2010,Fut,0,0,0,0,"139,9","0,4",D,0,0,0,TONS,1,"3,942","-139,9"
10/09/2010,Fut,0,0,0,0,139,"-0,9",D,0,0,0,TONS,1,"3,949",-139
13/09/2010,Fut,0,0,0,0,141,"2,0",D,0,0,0,TONS,1,"3,95",-141
14/09/2010,Fut,0,0,0,0,140,"-1,0",D,0,0,0,TONS,1,"3,946",-140
15/09/2010,Fut,0,0,0,0,140,0,D,0,0,0,TONS,1,"3,947",-140
16/09/2010,Fut,0,0,0,0,140,0,D,0,0,0,TONS,1,"3,953",-140
17/09/2010,Fut,0,0,0,0,142,"2,0",D,0,0,0,TONS,1,"3,946",-142
20/09/2010,Fut,0,0,0,0,144,"2,0",D,0,0,0,TONS,1,"3,955",-144
21/09/2010,Fut,0,0,0,0,146,"2,0",D,0,0,0,TONS,1,"3,955",-146
22/09/2010,Fut,0,0,0,0,"145,5","-0,5",D,0,0,0,TONS,1,"3,957","-145,5"
23/09/2010,Fut,0,0,0,0,"143,5","-2,0",D,0,0,0,TONS,1,"3,948","-143,5"
24/09/2010,Fut,0,0,0,0,148,"4,5",D,0,0,0,TONS,1,"3,951",-148
27/09/2010,Fut,0,0,0,0,146,"-2,0",D,0,0,0,TONS,1,"3,965",-146
28/09/2010,Fut,0,0,0,0,144,"-2,0",D,0,0,0,TONS,1,"3,968",-144
29/09/2010,Fut,0,0,0,0,145,"1,0",D,0,0,0,TONS,1,"3,966",-145
30/09/2010,Fut,0,0,0,0,145,0,D,0,0,0,TONS,1,"3,963",-145
01/10/2010,Fut,0,0,0,0,"141,5","-3,5",D,0,0,0,TONS,1,"3,958","-141,5"
04/10/2010,Fut,0,0,0,0,"142,5","1,0",D,0,0,0,TONS,1,"3,959","-142,5"
05/10/2010,Fut,0,0,0,0,"146,5","4,0",D,0,0,0,TONS,1,"3,955","-146,5"
