Fecha,Tipo,Open,High,Low,Last,Cierre,Aj.Dif.,Mon.,OI.Vol.,OI.Dif.,Vol.Ope.,Unidad,Dólar B.N.,Dólar Itaú.,Dif.Sem
12/06/2018,Fut,"295,5","295,5","295,5","295,5","295,5","295,5",D,300,300,300,TONS,1,"25,87","-295,5"
13/06/2018,Fut,0,0,0,0,"292,8","-2,7",D,300,0,0,TONS,1,"25,51","-292,8"
14/06/2018,Fut,0,0,0,0,291,"-1,8",D,300,0,0,TONS,1,"26,89",-291
15/06/2018,Fut,0,0,0,0,"284,2","-6,8",D,300,0,0,TONS,1,28,"-284,2"
18/06/2018,Fut,0,0,0,0,286,"1,8",D,300,0,0,TONS,1,"27,67",-286
19/06/2018,Fut,0,0,0,0,"283,5","-2,5",D,300,0,0,TONS,1,"27,66","-283,5"
21/06/2018,Fut,0,0,0,0,285,"1,5",D,300,0,0,TONS,1,"27,5",-285
22/06/2018,Fut,0,0,0,0,"288,4","3,4",D,300,0,0,TONS,1,"27,16","-288,4"
25/06/2018,Fut,0,0,0,0,"284,5","-3,9",D,300,0,0,TONS,1,"26,97","-284,5"
26/06/2018,Fut,0,0,0,0,"285,6","1,1",D,300,0,0,TONS,1,"27,055","-285,6"
27/06/2018,Fut,0,0,0,0,"285,5","-0,1",D,300,0,0,TONS,1,"27,25","-285,5"
28/06/2018,Fut,0,0,0,0,"285,1","-0,4",D,300,0,0,TONS,1,"27,67","-285,1"
29/06/2018,Fut,0,0,0,0,"286,6","1,5",D,300,0,0,TONS,1,"28,78","-286,6"
02/07/2018,Fut,0,0,0,0,"281,3","-5,3",D,300,0,0,TONS,1,"28,88","-281,3"
03/07/2018,Fut,279,279,279,279,279,"-2,3",D,500,200,200,TONS,1,"27,95",-279
04/07/2018,Fut,0,0,0,0,"277,9","-1,1",D,500,0,0,TONS,1,"28,02","-277,9"
05/07/2018,Fut,"278,5","280,3","278,5",280,"280,2","2,3",D,1100,600,1700,TONS,1,"28,18","-280,2"
06/07/2018,Fut,"284,7","286,1","284,7",286,286,"5,8",D,2000,900,1600,TONS,1,"28,15",-286
10/07/2018,Fut,283,284,283,284,284,"-2,0",D,3100,1100,2400,TONS,1,"27,76",-284
11/07/2018,Fut,280,280,280,280,280,"-4,0",D,3400,300,500,TONS,1,"27,54",-280
12/07/2018,Fut,"280,5","280,7",279,"280,3","279,5","-0,5",D,4100,700,1200,TONS,1,"27,15","-279,5"
13/07/2018,Fut,"278,7","279,6","278,7","279,6",279,"-0,5",D,4500,400,900,TONS,1,"27,24",-279
16/07/2018,Fut,282,"283,5","281,7","281,7","282,8","3,8",D,6100,1600,2200,TONS,1,"27,25","-282,8"
17/07/2018,Fut,284,"284,5","283,5","283,5","283,5","0,7",D,6600,500,1900,TONS,1,"27,51","-283,5"
18/07/2018,Fut,"283,5",284,"283,3",284,"283,7","0,2",D,9700,3100,3600,TONS,1,"27,71","-283,7"
19/07/2018,Fut,"282,5",283,"281,7",283,"282,5","-1,2",D,10300,600,1100,TONS,1,"27,71","-282,5"
20/07/2018,Fut,"283,3","283,7","283,3","283,7","283,3","0,8",D,10700,400,600,TONS,1,"27,615","-283,3"
23/07/2018,Fut,"283,5","283,7","283,5","283,7",283,"-0,3",D,10700,0,600,TONS,1,"27,7",-283
24/07/2018,Fut,"284,7","285,2","283,8","283,8","284,2","1,2",D,11100,400,1600,TONS,1,"27,54","-284,2"
25/07/2018,Fut,284,284,284,284,"283,8","-0,4",D,11600,500,500,TONS,1,"27,29","-283,8"
26/07/2018,Fut,"285,8","285,8",282,"282,1","282,8","-1,0",D,13600,2000,7400,TONS,1,"27,44","-282,8"
27/07/2018,Fut,284,284,284,284,284,"1,2",D,13800,200,200,TONS,1,"27,39",-284
30/07/2018,Fut,285,285,"284,3","284,3",285,"1,0",D,14000,200,400,TONS,1,"27,32",-285
31/07/2018,Fut,"288,6","290,6","288,6","289,5",290,"5,0",D,14300,300,1500,TONS,1,"27,35",-290
01/08/2018,Fut,"288,1","288,1","286,5","287,3","286,6","-3,4",D,14600,300,700,TONS,1,"27,71","-286,6"
02/08/2018,Fut,0,0,0,0,286,"-0,6",D,14600,0,0,TONS,1,"27,61",-286
03/08/2018,Fut,287,"287,4",286,286,"287,9","1,9",D,15600,1000,2100,TONS,1,"27,35","-287,9"
06/08/2018,Fut,287,"287,1",287,"287,1",287,"-0,9",D,15800,200,300,TONS,1,"27,44",-287
07/08/2018,Fut,"288,2","288,9",286,"286,1",289,"2,0",D,16500,700,2000,TONS,1,"27,24",-289
08/08/2018,Fut,"287,7","288,4","287,7","287,8",288,"-1,0",D,17300,800,2000,TONS,1,"27,47",-288
09/08/2018,Fut,"287,9",288,"287,5",288,"287,5","-0,5",D,17500,200,1200,TONS,1,"27,93","-287,5"
10/08/2018,Fut,0,0,0,0,"281,5","-6,0",D,17500,0,0,TONS,1,"28,97","-281,5"
13/08/2018,Fut,"281,5","281,7","280,7","281,3","281,6","0,1",D,17500,0,1000,TONS,1,"29,9","-281,6"
14/08/2018,Fut,"277,5","277,5","277,5","277,5","278,2","-3,4",D,17500,0,400,TONS,1,"29,34","-278,2"
15/08/2018,Fut,"275,6",276,"275,6",276,276,"-2,2",D,16600,-900,1400,TONS,1,"29,7",-276
16/08/2018,Fut,282,"282,6",282,"282,5","282,3","6,3",D,17800,1200,1900,TONS,1,"29,77","-282,3"
17/08/2018,Fut,281,282,281,282,281,"-1,3",D,19900,2100,2500,TONS,1,"29,8",-281
21/08/2018,Fut,282,282,"278,7","278,7","279,3","-1,7",D,20400,500,1600,TONS,1,30,"-279,3"
