Fecha,Tipo,Open,High,Low,Last,Cierre,Aj.Dif.,Mon.,OI.Vol.,OI.Dif.,Vol.Ope.,Unidad,Dólar B.N.,Dólar Itaú.,Dif.Sem
15/04/2021,Fut,210,211,210,211,211,"211,0",D,2100,2100,2100,TONS,"92,72","92,8",-211
16/04/2021,Fut,211,211,211,211,211,0,D,2600,500,500,TONS,"92,81","92,7",-211
19/04/2021,Fut,0,0,0,0,"211,5","0,5",D,2600,0,0,TONS,"92,92",93,"-211,5"
20/04/2021,Fut,215,"215,5",215,"215,5","215,5","4,0",D,4400,1800,1800,TONS,"92,97","93,05","-215,5"
21/04/2021,Fut,217,217,217,217,217,"1,5",D,5800,1400,1400,TONS,"93,03","93,09",-217
22/04/2021,Fut,220,220,220,220,220,"3,0",D,6700,900,1700,TONS,"93,07","93,15",-220
23/04/2021,Fut,0,0,0,0,215,"-5,0",D,6700,0,0,TONS,"93,12","93,05",-215
26/04/2021,Fut,225,225,225,225,224,"9,0",D,7000,300,300,TONS,"93,27","93,21",-224
27/04/2021,Fut,0,0,0,0,"221,5","-2,5",D,7000,0,0,TONS,"93,33","93,41","-221,5"
28/04/2021,Fut,0,0,0,0,222,"0,5",D,7000,0,0,TONS,"93,44","93,35",-222
29/04/2021,Fut,0,0,0,0,"222,5","0,5",D,7000,0,0,TONS,"93,5","93,44","-222,5"
30/04/2021,Fut,221,221,"220,5","220,5","221,5","-1,0",D,7600,600,600,TONS,"93,56","93,49","-221,5"
03/05/2021,Fut,0,0,0,0,"220,5","-1,0",D,7600,0,0,TONS,"93,67","93,75","-220,5"
04/05/2021,Fut,0,0,0,0,"224,5","4,0",D,7600,0,0,TONS,"93,71","93,65","-224,5"
05/05/2021,Fut,224,230,224,230,228,"3,5",D,7800,200,200,TONS,"93,75","93,83",-228
06/05/2021,Fut,0,0,0,0,"232,5","4,5",D,7800,0,0,TONS,"93,79","93,86","-232,5"
07/05/2021,Fut,235,"235,5",235,235,"235,5","3,0",D,12600,4800,1000,TONS,"93,85","93,9","-235,5"
10/05/2021,Fut,0,0,0,0,"229,5","-6,0",D,12600,0,0,TONS,"93,93","93,99","-229,5"
11/05/2021,Fut,0,0,0,0,"231,5","2,0",D,8800,-3800,0,TONS,"93,95","93,89","-231,5"
12/05/2021,Fut,230,230,230,230,230,"-1,5",D,9900,1100,1100,TONS,"93,98","94,05",-230
13/05/2021,Fut,0,0,0,0,"225,5","-4,5",D,9900,0,0,TONS,"94,01","93,95","-225,5"
14/05/2021,Fut,0,0,0,0,"223,5","-2,0",D,9900,0,0,TONS,"94,04","93,98","-223,5"
17/05/2021,Fut,0,0,0,0,221,"-2,5",D,9900,0,0,TONS,"94,13","94,06",-221
18/05/2021,Fut,0,0,0,0,"221,6","0,6",D,9900,0,0,TONS,"94,16","94,09","-221,6"
19/05/2021,Fut,0,0,0,0,"216,5","-5,1",D,9900,0,0,TONS,"94,2","94,14","-216,5"
